Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
931,27,100.45,1,0.0194
932,26,100.45,1,0.0194
933,29,100.45,1,0.0193
934,25,100.45,1,0.0193
935,28,100.45,1,0.0192
936,37,100.45,1,0.0192
937,33,100.45,1,0.0191
938,30,100.45,1,0.0191
939,32,100.45,1,0.0190
940,32,100.45,1,0.0190
941,32,100.45,1,0.0190
942,24,100.45,1,0.0189
943,28,100.45,1,0.0189
944,26,100.45,1,0.0188
945,26,100.45,1,0.0188
946,25,100.45,1,0.0187
947,39,100.45,1,0.0187
948,40,100.35,1,0.0187
949,29,100.45,1,0.0186
950,24,100.45,1,0.0186
951,34,100.45,1,0.0185
952,30,100.45,1,0.0185
953,24,100.45,1,0.0184
954,42,100.45,1,0.0184
955,28,100.45,1,0.0184
956,25,100.45,1,0.0183
957,25,100.45,1,0.0183
958,31,100.45,1,0.0182
959,44,100.45,1,0.0182
960,27,100.45,1,0.0181
